dimension,segment,records,alerts,labelled_anomalies,alert_rate,false_positive_rate,anomaly_recall
department,Consulting,905,11,4,0.012154696132596685,0.00776914539400666,1.0
department,Data,720,6,3,0.008333333333333333,0.0041841004184100415,1.0
department,Engineering,1906,27,12,0.01416579223504722,0.00791974656810982,1.0
department,Finance,304,3,2,0.009868421052631578,0.0033112582781456954,1.0
department,Operations,281,2,0,0.0071174377224199285,0.0071174377224199285,0.0
department,People,144,6,1,0.041666666666666664,0.03496503496503497,1.0
department,Product,190,3,2,0.015789473684210527,0.005319148936170213,1.0
job_grade,G1,281,2,0,0.0071174377224199285,0.0071174377224199285,0.0
job_grade,G2,2566,24,15,0.009353078721745909,0.0035280282242257936,1.0
job_grade,G3,1603,32,9,0.019962570180910792,0.014429109159347553,1.0
location,Belfast,525,7,2,0.013333333333333334,0.009560229445506692,1.0
location,Birmingham,808,9,6,0.011138613861386138,0.003740648379052369,1.0
location,Bristol,673,3,2,0.004457652303120356,0.0014903129657228018,1.0
location,Edinburgh,818,5,5,0.006112469437652812,0.0,1.0
location,London,871,29,5,0.03329506314580941,0.02771362586605081,1.0
location,Manchester,755,5,4,0.006622516556291391,0.0013315579227696406,1.0
